Time,Speaker,Speech Texts
01:02:01,Speaker A,"I know you guys have quieted it, I think your eyes on the data structure exam."
01:02:06,Speaker A,Am I right?
01:02:08,Speaker A,It's okay.
01:02:09,Speaker A,I will let you guys go a little early today.
01:02:12,Speaker A,I know it's a lot.
01:02:13,Speaker A,"Practice, practice."
01:02:15,Speaker A,All right.
01:02:16,Speaker A,Good luck with your exam.
01:02:18,Speaker A,Tell me how much you enjoy the exam.
01:02:21,Speaker A,Should feel good.
01:02:25,Speaker A,And homework is posted.
